Symbol	FC	qval	mean_expr_HA	mean_expr_HC
A2M-AS1	Inf	0.00657399852753804	0.0240041456370666	0
AAGAB	Inf	5.73863247150192e-17	0.402314681813903	0
AAK1	Inf	8.98304146744529e-27	0.924164172462789	0
AAMDC	-0.66242982489176	0.00135942711465234	0.223991650239748	1.02958369035231
AAMP	-0.258560234959841	0.00012316528935632	0.452472879612387	0.820640201716769
AASDH	0.437222853523816	0.00714511159804067	0.803122401899867	0.29346673923083
AASDHPPT	-0.158327264724277	0.0271418708406417	0.368015820066878	0.529899796850693
AATF	Inf	3.3272288452445e-19	0.48080444695572	0
ABCA10	-Inf	0.00669609837540849	0	1.50910011590403
ABCA5	-0.224347554805755	0.000654057971242224	0.247994988780837	0.415709988775251
ABCA7	-0.411488486846087	0.00254431256114936	0.376008577861959	0.969809065414241
ABCB8	Inf	0.00067321366036688	0.0720009437209861	0
ABCB9	0.598610921133636	2.73548244927387e-06	0.248025838036281	0.0625008616384456
ABCC1	-0.288369692111092	3.10197259506694e-07	0.162274130833451	0.315223788132038
ABCC11	0.821123864693491	0.00166583162738756	0.0720009437209827	0.0108696190641338
ABCC5	Inf	7.75941100872838e-21	1.1109716416592	0
ABCD1	Inf	0.00901530398062928	0.0639959724123828	0
ABCD2	Inf	2.29024274858041e-05	0.37644328683182	0
ABCE1	-0.174094092168221	0.00236443235325321	0.972173079202511	1.45156899371657
ABCF1	-0.10915757335534	0.000115166647437762	1.75203801983049	2.2526882803561
ABCF2	Inf	1.84461855096291e-26	0.447995041922956	0
ABCG1	Inf	2.21181402629354e-21	0.456000876185582	0
ABHD1	0.343986953288876	0.00185448175892679	0.0720009437209753	0.0326100327905876
ABHD11	0.914766840165523	0.000249293300983731	0.960282107574188	0.116850882528623
ABHD12	Inf	3.97198473615145e-24	0.947855712608188	0
ABHD13	-0.0446240370763541	9.0695099603798e-06	0.549831705743015	0.609331761900794
ABHD14A	-0.510840116555812	0.00920273963196678	0.0880047910148978	0.285329340451816
ABHD14B	-1.6092324717548	8.23804859685896e-10	0.0240041456370654	0.976154868857471
ABHD15	Inf	1.9366896090719e-10	0.127999746057811	0
ABHD15-AS1	Inf	0.00165915299569233	0.0319993846203933	0
ABHD16A	Inf	0.0338930752112308	0.0559999234250021	0
ABHD17AP3	-Inf	0.00370850993904301	0	0.115430231970863
ABHD17B	Inf	5.93878371932082e-06	0.176632758189815	0
ABHD17C	Inf	3.04990892064619e-08	0.096006689090312	0
