Symbol	FC	qval	mean_expr_HA	mean_expr_HC
A2M	0.203433178963279	0.0401463349609338	0.107692128431316	0.0674141062978622
AACS	-0.823276897902338	0.0153186768600638	0.0769248953272245	0.512087071964615
AAED1	-0.307657855725724	0.00142369026851962	0.630754311325251	1.28090842864884
AAGAB	Inf	1.23820315357367e-07	0.384613462902986	0
AAK1	Inf	4.23070218666127e-14	1.37689963386483	0
AAMP	-0.321840528346018	0.0272275069677078	0.82197684624759	1.72464658457601
AARSD1	Inf	0.00255872507801477	0.376460586707302	0
AASDHPPT	-0.238332524941898	0.00876534119399287	1.33180209174965	2.30553764394376
AATF	Inf	1.91419906869436e-12	0.96923299252941	0
ABAT	-1.31696710715053	0.00173325488767783	0.0307701986334404	0.638406656945117
ABCA2	-0.340646688582193	0.00423264897756538	0.0923068944581232	0.202246413345554
ABCA6	-1.07199191085709	0.000245195094456454	0.0769248953272245	0.90794350204214
ABCB7	-0.0685761337968968	0.0157817999813979	0.46421389614307	0.5436185534999
ABCB8	Inf	0.0403692198753543	0.0769248953272263	0
ABCC5	Inf	0.0365551901209246	0.0461513918115234	0
ABCD2	Inf	0.000156258737138818	0.153846273407904	0
ABCE1	-0.114506581905032	0.000690687655817262	2.26154103546176	2.94381866310258
ABCF1	-0.200717654967408	7.61925294160225e-06	2.92306995447865	4.64041544827659
ABCF2	Inf	1.41059821078192e-12	0.970505446878882	0
ABCF3	Inf	0.0365003611605302	0.0461513918115272	0
ABCG1	Inf	3.24968253850264e-06	0.786697105570384	0
ABHD10	-0.146016338762747	0.0059857435765959	0.802776080323984	1.12359749539215
ABHD12	Inf	0.0365854738674779	0.273288443070096	0
ABHD13	0.518281969370709	0.0414554436246977	1.59355786724237	0.483154322601248
ABHD14A	0.0256631547131813	0.000418640599530872	0.801725109037689	0.75572246184823
ABHD14B	-0.79831028619645	1.41699301137769e-06	0.240391282432957	1.5108766191234
ABHD15-AS1	Inf	0.0403692198753543	1.12625891292801	0
ABHD17A	-0.39548711937569	0.00722444368089317	0.464215331785462	1.15400210048638
ABHD17B	Inf	0.000396146793298674	0.316681714525058	0
ABHD18	Inf	6.58429273133588e-09	0.503386804278896	0
ABHD2	-0.350336530886493	0.00154288981694522	0.511969524816892	1.14704548845263
ABHD5	Inf	0.000159492163562131	0.562844770089538	0
ABI1	Inf	2.17416852759448e-38	3.90762619531181	0
ABI2	Inf	9.22915900956052e-06	0.674691659702196	0
